"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Cursed Kingdom",57,0,"Completed College","male","Viewer","Employed","Drama","2 mins","Summer",5101,"Astonishingly well done.",3,"3.5 stars","3.5 stars","8-20-2000","2004/2/20","2 hrs"
"Broken Promises",53,0,"Post-Graduate","male","Viewer","Employed","Drama","3 mins","Fall",5560,"A movie that didn't quite capture my full attention.",10,"3.2 stars","3.3 stars","10-6-2008","2010/5/3","2 hrs"
"Futuristic Frontiers",57,0,"Completed High School","female","Viewer","Employed","Sci-Fi","20 mins","Winter",2755,"I had high hopes for this film, but it was a letdown. The characters were one-dimensional, and the story was a mess.",23,"2.6 stars","2.5 stars","3-12-1988","1994/3/12","2 hrs"
"Silly Adventures",39,1,"Post-Graduate","female","Critic","Employed","Comedy","30 mins","Summer",607,"A narrative that didn't quite leave a lasting impact.",10,"3.2 stars","3.1 stars","3-8-2018","2019/7/22","1 hrs"
"Eternal Sunshine",33,1,"Completed High School","female","Critic","Employed","Drama","8 mins","Summer",4603,"A work of pure genius.",5,"4 stars","4 stars","1-26-2017","2019/3/23","2 hrs"
"Mystic Shadows",18,0,"Post-Graduate","female","Viewer","Employed","Drama","22 mins","Summer",1455,"It didn't live up to the hype, but it wasn't a total disappointment.",15,"3 stars","3.1 stars","2-4-2010","2014/4/13","1 hrs"
"Rising Stars",58,0,"Completed College","male","Viewer","Employed","Drama","3 mins","Summer",2889,"A movie that fell short of my expectations.",8,"3.1 stars","3.1 stars","5-14-2000","2001/6/14","2 hrs"
"Shattered Illusions",80,0,"Post-Graduate","male","Viewer","Retired","Drama","22 mins","Fall",8485,"A triumphant celebration of life and love.",7,"3.8 stars","3.7 stars","10-1-2013","2014/6/8","2 hrs"
"Stellar Explorers",18,0,"Post-Graduate","female","Viewer","Unemployed","Sci-Fi","33 mins","Fall",8106,"I can't believe I wasted money on this. The characters were one-dimensional, and the story was dull.",19,"2.3 stars","2.2 stars","6-21-2013","2013/3/24","1 hrs"
"Realm of Legends",58,0,"Post-Graduate","male","Critic","Employed","Action/Adventure","48 mins","Summer",7968,"A movie that left me uninterested and thoroughly disappointed.",9,"2.7 stars","2.8 stars","8-24-1996","2004/7/18","1 hrs"
"Visions of Valor",18,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","28 mins","Fall",2574,"A forgettable experience that left me questioning its value.",9,"2.2 stars","2.2 stars","9-13-1987","1992/7/25","2 hrs"
"A Glimpse Through Time",37,1,"Completed High School","female","Viewer","Employed","Other","52 mins","Fall",8842,"An okay narrative that lacked a distinct identity.",8,"3.1 stars","2.9 stars","1-2-1989","1996/12/3","1 hrs"
"Magic of Childhood",42,0,"Completed College","female","Viewer","Employed","Kids","17 mins","Winter",1036,"I can't believe I wasted money on this. The characters were one-dimensional, and the story was dull.",19,"2.5 stars","2.6 stars","4-17-2014","2017/8/22","1 hrs"
"Legends Unleashed",50,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","14 mins","Summer",4095,"A film that was neither remarkable nor forgettable.",8,"3.4 stars","3.5 stars","9-7-2009","2009/4/24","2 hrs"
"Whispers of Hope",37,1,"Post-Graduate","male","Viewer","Retired","Drama","34 mins","Summer",389,"A mixed bag of emotions and storytelling.",7,"3.1 stars","3.2 stars","2-10-2018","2018/10/6","2 hrs"
"Wanderlust",59,0,"Completed High School","male","Critic","Employed","Other","46 mins","Summer",3716,"I expected so much more from this film, but it fell flat. Boring and uninspired, it left me with a sense of wasted potential.",24,"2.1 stars","2.1 stars","8-1-1998","2004/2/14","1 hrs"
"Whispers in the Dark",36,3,"Post-Graduate","male","Viewer","Employed","Horror","18 mins","Spring",2052,"An average outing that didn't fully connect.",8,"3.1 stars","3.1 stars","10-17-2020","2020/9/10","1 hrs"
"Beyond the Horizon",49,1,"Completed High School","female","Critic","Employed","Action/Adventure","52 mins","Spring",6820,"This movie was a complete disaster. The plot was confusing, the acting was terrible, and it left me feeling unsatisfied.",20,"2.4 stars","2.3 stars","12-9-2010","2010/3/12","1 hrs"
"Unseen Horizons",65,0,"Completed College","female","Critic","Employed","Drama","31 mins","Summer",7985,"A cinematic experience that will resonate for ages.",8,"3.5 stars","3.5 stars","1-16-2010","2017/12/2","2 hrs"
"Rolling on the Floor",64,0,"Post-Graduate","male","Viewer","Employed","Comedy","7 mins","Summer",410,"A movie that fell short of my expectations.",8,"3.3 stars","3.2 stars","5-27-2015","2015/7/12","2 hrs"
"Beneath the Surface",49,0,"Post-Graduate","female","Critic","Employed","Drama","20 mins","Fall",9202,"A film that missed the mark on every level. Avoid.",10,"2.5 stars","2.5 stars","8-8-2011","2017/6/27","2 hrs"
"Empire of Shadows",61,0,"Completed High School","male","Viewer","Employed","Action/Adventure","45 mins","Summer",9606,"A triumphant celebration of the human spirit.",7,"3.5 stars","3.3 stars","11-3-2017","2018/3/26","1 hrs"
"Journey to the Unknown",68,0,"Completed High School","male","Viewer","Employed","Action/Adventure","2 mins","Summer",2537,"I wouldn't recommend this movie to anyone. It was boring, poorly acted, and had a terrible script.",18,"2.6 stars","2.6 stars","7-9-2000","2003/10/27","2 hrs"
"Secret of the Ancients",37,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","11 mins","Summer",9029,"A film to remember.",4,"3.9 stars","3.8 stars","7-7-2020","2021/11/17","2 hrs"
"Endless Love",24,0,"Completed College","female","Viewer","Unemployed","Romance","17 mins","Spring",3185,"A watchable experience that neither impressed nor disappointed.",8,"2.9 stars","2.9 stars","12-10-2016","2016/8/10","2 hrs"
"Tales of Tiny Explorers",27,1,"Completed College","male","Viewer","Employed","Kids","36 mins","Fall",4368,"Not a standout, but it's not entirely forgettable.",9,"2.9 stars","3 stars","9-23-2002","2006/8/2","1 hrs"
"Crazy Antics",42,0,"Post-Graduate","male","Viewer","Employed","Comedy","25 mins","Winter",6745,"A movie that didn't leave a strong impression.",9,"3.1 stars","3 stars","1-2-1992","1999/1/17","1 hrs"
"Wanderlust",72,0,"Post-Graduate","male","Viewer","Retired","Other","57 mins","Summer",3716,"A complete waste of time that I won't get back.",11,"2.5 stars","2.6 stars","7-4-1998","2006/3/9","1 hrs"
"Lost Treasures",41,2,"Post-Graduate","female","Viewer","Employed","Action/Adventure","3 mins","Spring",4040,"A triumphant celebration of life and love.",7,"3.6 stars","3.6 stars","5-4-2009","2018/1/22","2 hrs"
"Chronicles of Destiny",30,0,"Completed High School","male","Critic","Unemployed","Action/Adventure","31 mins","Fall",4695,"A complete waste of time that I deeply regret.",9,"2.1 stars","2.1 stars","11-8-2000","2007/11/5","1 hrs"
"Soulbound",55,1,"Post-Graduate","female","Critic","Employed","Drama","20 mins","Fall",1618,"I can't believe I sat through this garbage. The writing was terrible, and the acting was worse.",18,"2.7 stars","2.8 stars","8-3-2010","2017/10/8","1 hrs"
"Clash of Titans",38,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","33 mins","Summer",3638,"A middle-of-the-road movie, nothing exceptional.",8,"2.9 stars","3.1 stars","1-12-2015","2015/8/23","1 hrs"
"Mystic Whispers",80,0,"Post-Graduate","female","Critic","Retired","Drama","5 mins","Summer",857,"I couldn't wait for this movie to end. It was painful to watch, and I couldn't care less about the characters.",23,"2.4 stars","2.5 stars","4-25-2010","2018/12/16","2 hrs"
"Fun Under the Sun",66,0,"Post-Graduate","female","Viewer","Employed","Comedy","11 mins","Summer",7699,"An extraordinary journey that left me inspired.",7,"4.5 stars","4.4 stars","11-1-2019","2021/1/24","2 hrs"
"Whispers in the Dark",41,3,"Completed College","female","Critic","Employed","Horror","22 mins","Spring",2052,"An uninspired and forgettable mess that isn't worth your time.",11,"2.5 stars","2.5 stars","10-7-2020","2020/8/5","2 hrs"
"Amour Forever",18,0,"Post-Graduate","female","Critic","Employed","Romance","18 mins","Fall",6251,"A misfire that lacked direction and purpose. Avoid at all costs.",11,"2.2 stars","2.1 stars","2-2-2004","2011/7/18","1 hrs"
"Lost Horizon",77,0,"Completed College","male","Critic","Employed","Drama","23 mins","Spring",2643,"An uninspired mess that left me utterly unimpressed.",8,"2.6 stars","2.6 stars","2-15-2018","2019/10/17","2 hrs"
"Amour Forever",24,0,"Completed College","female","Viewer","Employed","Romance","17 mins","Fall",6251,"Not the best, but it was bearable.",7,"3.1 stars","3.3 stars","12-17-2004","2004/7/21","1 hrs"
"Forgotten Realms",40,1,"Completed College","male","Viewer","Employed","Drama","11 mins","Summer",3337,"Stellar performances and an unforgettable storyline.",6,"3.7 stars","3.6 stars","5-23-2013","2016/8/3","2 hrs"
"The Adventurous Quest",55,1,"Completed College","female","Viewer","Unemployed","Action/Adventure","20 mins","Summer",9822,"A powerful cinematic gem.",4,"3.7 stars","3.5 stars","6-25-2011","2014/3/7","2 hrs"
"Clash of Titans",64,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","15 mins","Summer",3638,"Every frame felt like a work of art. A must-see.",11,"3.9 stars","3.9 stars","7-24-2015","2016/2/11","1 hrs"
"Heartstrings",46,1,"Post-Graduate","female","Viewer","Employed","Romance","3 mins","Summer",5066,"A neutral narrative that left me feeling indifferent.",8,"3.4 stars","3.6 stars","11-5-1991","1993/7/8","2 hrs"
"The Mysterious Expedition",51,1,"Completed College","female","Viewer","Employed","Action/Adventure","30 mins","Fall",5056,"A true work of art.",5,"3.6 stars","3.8 stars","6-5-2016","2017/1/11","2 hrs"
"Whispers of Fate",39,0,"Post-Graduate","male","Viewer","Employed","Drama","45 mins","Fall",8887,"A decent movie, but it didn't quite meet my expectations. Some parts were enjoyable.",15,"3.3 stars","3.4 stars","2-28-2009","2019/7/23","1 hrs"
"Echoes of Eternity",18,0,"Post-Graduate","male","Viewer","Employed","Drama","56 mins","Summer",7245,"An instant classic that will be cherished for years.",9,"4 stars","3.9 stars","9-11-1998","2005/9/7","1 hrs"
"The Uncharted Journey",57,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","33 mins","Fall",3948,"I can't believe I wasted my time on this film. The characters were unlikable, and the story was boring.",20,"2.4 stars","2.6 stars","8-10-2007","2009/4/14","1 hrs"
"Cosmic Adventures",42,0,"Post-Graduate","male","Viewer","Unemployed","Sci-Fi","34 mins","Fall",8655,"It's not remarkable, but it's not terrible either.",10,"3.1 stars","3 stars","9-23-2012","2014/5/26","1 hrs"
"Crazy Antics",72,0,"Completed College","female","Viewer","Employed","Comedy","38 mins","Winter",6745,"A middle-of-the-road outing that left me with mixed feelings.",12,"3.4 stars","3.5 stars","5-22-1992","1992/4/10","1 hrs"
"Requiem for a Dream",73,0,"Post-Graduate","female","Critic","Retired","Drama","39 mins","Winter",3517,"A total disappointment that I deeply regret watching.",8,"2.3 stars","2.1 stars","6-3-2008","2014/9/19","1 hrs"
"Empire of Shadows",47,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","28 mins","Summer",9606,"Brimming with charm and genuine emotion.",6,"4 stars","4.1 stars","9-21-2017","2017/10/16","1 hrs"
"The Hilarious Movie",18,0,"Completed High School","female","Critic","Employed","Comedy","40 mins","Winter",1399,"A complete letdown that left me frustrated and annoyed.",9,"2.2 stars","2.1 stars","4-22-2014","2023/7/12","1 hrs"
"Wonderland Adventures",46,1,"Completed High School","female","Viewer","Employed","Kids","51 mins","Spring",2160,"A film that didn't fully resonate with me.",9,"3.4 stars","3.3 stars","9-15-2012","2016/9/10","1 hrs"
"Joyful Journeys",38,0,"Post-Graduate","male","Viewer","Employed","Kids","27 mins","Spring",9030,"A film that left me on the fence with its execution.",11,"3.3 stars","3.2 stars","2-1-2005","2009/11/2","1 hrs"
"Stolen Memories",31,3,"Post-Graduate","female","Critic","Employed","Drama","14 mins","Summer",3004,"A watchable effort that didn't quite stand out.",9,"2.8 stars","2.7 stars","9-17-2003","2007/7/3","2 hrs"
"Whispers in the Dark",47,1,"Completed High School","female","Viewer","Employed","Horror","24 mins","Spring",2052,"An average film that didn't evoke strong emotions.",9,"2.9 stars","2.9 stars","6-14-2020","2022/10/23","1 hrs"
"Enchanted Hearts",42,0,"Post-Graduate","female","Viewer","Employed","Romance","42 mins","Summer",9467,"An inspiring and visually enchanting journey.",6,"4.3 stars","4.1 stars","2-2-2019","2021/12/7","1 hrs"
"Chronicles of Destiny",52,2,"Post-Graduate","female","Critic","Employed","Action/Adventure","25 mins","Fall",4695,"This movie was a complete disaster. The plot was confusing, the acting was terrible, and it left me feeling unsatisfied.",20,"2.5 stars","2.7 stars","4-25-2000","2002/1/17","1 hrs"
"Realm of Legends",39,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","56 mins","Summer",7968,"A middle-of-the-road movie that had its ups and downs.",12,"3.4 stars","3.3 stars","11-15-1996","2004/3/9","1 hrs"
"Midnight Whispers",56,0,"Completed College","female","Critic","Unemployed","Drama","55 mins","Summer",9341,"An instant classic that will be cherished for years.",9,"3.7 stars","3.6 stars","2-28-2012","2020/1/23","1 hrs"
"The Uncharted Journey",39,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","31 mins","Fall",3948,"A movie that had its moments but didn't resonate.",10,"3.1 stars","2.9 stars","5-4-2007","2009/6/18","1 hrs"
"The Mysterious Expedition",29,1,"Completed College","female","Viewer","Employed","Action/Adventure","20 mins","Fall",5056,"A movie that failed to leave a memorable mark.",9,"3.2 stars","3.4 stars","3-18-2016","2017/2/7","2 hrs"
"Guardians of Destiny",54,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","26 mins","Winter",374,"I had high hopes for this film, but it was a letdown. The characters were one-dimensional, and the story was a mess.",23,"1.9 stars","1.8 stars","6-2-2004","2006/5/20","1 hrs"
"Fun Under the Sun",76,0,"Completed College","female","Viewer","Retired","Comedy","25 mins","Summer",7699,"Captivating and emotionally charged from start to finish.",8,"4.3 stars","4.4 stars","2-6-2019","2019/10/6","2 hrs"
"Fun Under the Sun",18,0,"Completed College","male","Critic","Employed","Comedy","20 mins","Summer",7699,"I can't say I was thrilled, but it wasn't terrible either.",13,"3 stars","2.8 stars","6-14-2019","2021/4/10","2 hrs"
"Hilarity Unleashed",18,0,"Completed College","female","Viewer","Unemployed","Comedy","28 mins","Fall",7590,"A middle-of-the-road effort that didn't stand out.",11,"3.3 stars","3.2 stars","1-6-2019","2020/2/15","2 hrs"
"Enchanted Expeditions",19,0,"Post-Graduate","male","Viewer","Employed","Action/Adventure","29 mins","Summer",1969,"A complete letdown that I wouldn't wish upon anyone.",10,"2.2 stars","2.2 stars","2-5-2017","2017/8/28","2 hrs"
"Innocence Lost",58,0,"Post-Graduate","female","Viewer","Employed","Drama","20 mins","Summer",3260,"Captured my imagination and heart from the very start.",9,"3.6 stars","3.5 stars","11-17-2011","2020/12/18","2 hrs"
"Shadowed Past",69,0,"Post-Graduate","female","Viewer","Employed","Drama","23 mins","Summer",4038,"A decent movie, but it didn't quite meet my expectations.",11,"3.4 stars","3.3 stars","8-8-2017","2019/5/5","1 hrs"
"Raiders of the Unknown",33,1,"Completed College","female","Viewer","Employed","Action/Adventure","28 mins","Summer",6957,"An okay watch with some redeeming qualities.",7,"3 stars","3 stars","3-6-2018","2020/5/17","2 hrs"
"Hilarity Unleashed",80,0,"Completed College","female","Viewer","Retired","Comedy","32 mins","Fall",7590,"Spectacular and moving.",3,"4.2 stars","4 stars","10-19-2019","2019/10/13","2 hrs"
"Futuristic Frontiers",55,0,"Completed High School","female","Critic","Employed","Sci-Fi","10 mins","Winter",2755,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I regret ever watching it.",17,"1.2 stars","1.1 stars","6-23-1988","1991/3/28","2 hrs"
"Secret of the Ancients",58,0,"Completed High School","male","Viewer","Employed","Action/Adventure","38 mins","Summer",9029,"A movie that left me feeling indifferent.",7,"3.3 stars","3.4 stars","5-17-2020","2022/7/16","1 hrs"
"Tales of Tiny Explorers",47,1,"Completed High School","female","Viewer","Employed","Kids","16 mins","Fall",4368,"A movie that didn't quite live up to the hype.",11,"3.2 stars","3.3 stars","12-22-2002","2004/10/2","1 hrs"
"Silly Adventures",57,1,"Completed College","female","Viewer","Employed","Comedy","10 mins","Summer",607,"A true work of artistry.",5,"3.7 stars","3.8 stars","8-1-2018","2020/3/26","2 hrs"
"Love in the Air",59,0,"Post-Graduate","male","Viewer","Employed","Romance","20 mins","Summer",6969,"I didn't hate it, but I didn't love it either.",12,"3.2 stars","3.2 stars","2-23-2018","2019/10/8","1 hrs"
"Clash of Titans",34,1,"Completed College","male","Critic","Retired","Action/Adventure","30 mins","Summer",3638,"An absolute disaster that failed to hold my attention.",9,"2.4 stars","2.5 stars","5-23-2015","2017/8/28","1 hrs"
"Heartstrings",29,0,"Completed College","female","Viewer","Employed","Romance","30 mins","Summer",5066,"A passable experience that left me feeling neutral.",8,"3.3 stars","3.4 stars","6-17-1991","1994/2/4","2 hrs"
"Enchanted Playtime",32,1,"Completed College","male","Viewer","Employed","Kids","37 mins","Spring",1041,"Wonderfully done!",2,"3.5 stars","3.6 stars","4-5-2004","2007/4/3","1 hrs"
"Realm of Illusions",25,1,"Post-Graduate","female","Viewer","Employed","Drama","31 mins","Summer",1520,"A film with potential that didn't quite soar.",9,"3.2 stars","3.4 stars","4-19-2005","2013/2/21","2 hrs"
"Secret of the Ancients",46,2,"Completed College","male","Viewer","Employed","Action/Adventure","26 mins","Summer",9029,"Brilliant from start to end.",5,"3.5 stars","3.4 stars","5-2-2020","2021/12/18","2 hrs"
