"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Whispers of Hope",25,0,"Post-Graduate","female","Viewer","Employed","Drama","35 mins","Summer",389,"Some scenes were interesting, others were forgettable.",7,"3.2 stars","3.1 stars","9-18-2018","2018/2/11","1 hrs"
"Mystic Whispers",63,0,"Completed High School","female","Viewer","Employed","Drama","19 mins","Summer",857,"It had potential, but it didn't fully deliver.",9,"3 stars","3.1 stars","8-15-2010","2011/4/3","1 hrs"
"Broken Promises",34,1,"Post-Graduate","female","Viewer","Employed","Drama","27 mins","Fall",5560,"A testament to the power of cinema to touch hearts.",10,"3.5 stars","3.5 stars","5-11-2008","2008/1/25","2 hrs"
"Midnight Shadows",65,0,"Post-Graduate","female","Viewer","Employed","Horror","56 mins","Summer",4464,"A movie that fell short of my expectations.",8,"3.3 stars","3.5 stars","2-28-1995","2002/4/6","1 hrs"
"The Uncharted Journey",73,0,"Completed College","female","Critic","Retired","Action/Adventure","9 mins","Fall",3948,"I can't believe I wasted money on this. The characters were one-dimensional, and the story was dull.",19,"1.9 stars","1.9 stars","11-2-2007","2012/3/9","2 hrs"
"Requiem for a Dream",64,0,"Completed High School","male","Viewer","Employed","Drama","24 mins","Winter",3517,"Highly recommended to all.",4,"4 stars","3.9 stars","2-12-2008","2018/1/2","1 hrs"
"Heartstrings",37,1,"Completed College","male","Viewer","Employed","Romance","36 mins","Summer",5066,"An uninspired and regrettable mess that I won't soon forget.",11,"2.4 stars","2.3 stars","7-7-1991","1991/1/10","1 hrs"
"Beneath the Surface",23,0,"Completed College","male","Viewer","Unemployed","Drama","29 mins","Fall",9202,"Every frame felt like a work of art. A must-see.",11,"4 stars","4.2 stars","1-20-2011","2014/5/25","2 hrs"
"Stolen Memories",29,1,"Post-Graduate","male","Critic","Employed","Drama","34 mins","Summer",3004,"A disaster from start to finish. Save yourself the agony.",10,"2.5 stars","2.6 stars","3-2-2003","2004/9/4","2 hrs"
"Laughing Waters",47,1,"Completed College","male","Viewer","Employed","Comedy","35 mins","Spring",768,"It's neither remarkable nor terrible.",6,"3 stars","2.8 stars","4-13-2006","2012/1/24","2 hrs"
"Sweet Serenade",38,1,"Completed College","female","Viewer","Employed","Romance","6 mins","Fall",3730,"A passable cinematic endeavor that didn't stand out.",9,"2.8 stars","3 stars","6-11-1996","2000/5/1","2 hrs"
"Tales of Tiny Explorers",67,0,"Completed College","female","Viewer","Retired","Kids","33 mins","Fall",4368,"Not worth watching.",3,"2.7 stars","2.5 stars","3-2-2002","2007/12/20","1 hrs"
"Unseen Horizons",45,0,"Post-Graduate","female","Viewer","Employed","Drama","30 mins","Summer",7985,"Heartfelt and beautifully realized. An absolute gem.",7,"4 stars","3.8 stars","1-20-2010","2011/11/15","1 hrs"
"Secret of the Ancients",18,0,"Completed College","female","Viewer","Employed","Action/Adventure","27 mins","Summer",9029,"It was alright, but I've seen better.",8,"3 stars","2.9 stars","4-16-2020","2021/4/4","1 hrs"
"Rise of the Phoenix",63,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","3 mins","Winter",6613,"It wasn't remarkable, but it wasn't awful either.",10,"2.9 stars","2.8 stars","2-6-2006","2012/4/19","2 hrs"
"Unbreakable Bonds",80,0,"Post-Graduate","female","Viewer","Retired","Romance","55 mins","Spring",6916,"Unforgettable movie moments.",3,"3.9 stars","4.1 stars","9-11-2015","2016/7/17","1 hrs"
"Beyond Boundaries",35,1,"Completed College","female","Critic","Employed","Other","17 mins","Fall",8184,"A movie that left me uninterested and thoroughly unmoved.",9,"1.8 stars","1.8 stars","11-1-2018","2019/10/1","2 hrs"
"Legends Reborn",52,2,"Completed College","male","Critic","Retired","Action/Adventure","33 mins","Fall",5896,"An absolute disaster that failed to hold my attention.",9,"2.5 stars","2.7 stars","1-26-2008","2017/3/3","1 hrs"
"Odyssey of Legends",40,0,"Completed College","female","Viewer","Employed","Action/Adventure","57 mins","Fall",7179,"Some moments were good, others not so much.",8,"3 stars","3.2 stars","5-24-2011","2021/11/19","1 hrs"
"The Last Crusade",22,0,"Post-Graduate","male","Viewer","Student","Action/Adventure","37 mins","Winter",4492,"A narrative that fell somewhere in the middle for me.",10,"3.1 stars","3.2 stars","10-3-2015","2015/8/20","1 hrs"
"The Enigmatic Drama",35,2,"Completed College","female","Viewer","Employed","Drama","5 mins","Summer",5690,"Highly recommended to all.",4,"3.9 stars","3.8 stars","11-7-2018","2019/1/8","2 hrs"
"Enchanted Darkness",42,1,"Completed College","male","Viewer","Employed","Horror","52 mins","Summer",7361,"Movie perfection achieved.",3,"3.9 stars","3.8 stars","11-4-2009","2017/1/25","1 hrs"
"Odyssey of Hope",37,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","28 mins","Summer",9797,"It's an average movie, nothing to rave about.",9,"3.2 stars","3.3 stars","4-3-2019","2019/3/20","1 hrs"
"Legends Reborn",51,1,"Post-Graduate","male","Critic","Retired","Action/Adventure","38 mins","Fall",5896,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I regret ever watching it.",17,"2.6 stars","2.5 stars","1-25-2008","2012/2/17","1 hrs"
"Eternal Echoes",18,0,"Completed College","male","Viewer","Unemployed","Drama","29 mins","Summer",7130,"A tale of courage and triumph that left me breathless.",10,"4.1 stars","4.3 stars","8-17-1992","1994/11/16","2 hrs"
"Whimsical Whispers",65,0,"Completed High School","female","Viewer","Employed","Comedy","13 mins","Summer",6627,"A movie that failed to leave a strong impact.",9,"3.4 stars","3.5 stars","2-15-2020","2021/9/11","2 hrs"
"Endless Love",27,1,"Post-Graduate","female","Critic","Employed","Romance","10 mins","Spring",3185,"Neither good nor bad. Just average.",6,"3.1 stars","3.1 stars","6-28-2016","2017/8/27","2 hrs"
"Magic of Childhood",41,1,"Completed High School","female","Viewer","Employed","Kids","45 mins","Winter",1036,"I neither loved it nor hated it.",7,"3 stars","3 stars","4-2-2014","2023/10/4","1 hrs"
"Enchanted Hearts",54,1,"Completed High School","female","Viewer","Employed","Romance","32 mins","Summer",9467,"A cinematic triumph that left me in awe.",8,"4 stars","4.1 stars","4-13-2019","2021/6/17","1 hrs"
"Mystic Whispers",61,0,"Completed High School","male","Viewer","Employed","Drama","19 mins","Summer",857,"A movie that had its moments but didn't resonate.",10,"3.1 stars","3.1 stars","1-20-2010","2013/1/13","1 hrs"
"Frozen in Time",18,0,"Post-Graduate","female","Viewer","Employed","Drama","59 mins","Winter",2736,"A movie that failed to leave a memorable mark.",9,"2.8 stars","3 stars","7-19-1984","1984/11/23","1 hrs"
"Wanderlust",26,0,"Completed College","male","Viewer","Student","Other","22 mins","Summer",3716,"A narrative that hovered in mediocrity without standing out.",9,"2.9 stars","2.9 stars","6-24-1998","2002/3/3","1 hrs"
"Enchanted Hearts",41,0,"Post-Graduate","male","Critic","Employed","Romance","0 mins","Summer",9467,"Some parts were good, others were mediocre.",7,"3.3 stars","3.4 stars","11-17-2019","2021/11/17","2 hrs"
"Love in the Air",19,0,"Post-Graduate","female","Viewer","Student","Romance","7 mins","Summer",6969,"An absolute delight! The humor and heart in this movie make it an instant classic. Loved every minute of it.",20,"4 stars","4.2 stars","5-7-2018","2020/11/22","2 hrs"
"Futuristic Frontiers",49,2,"Completed College","male","Critic","Student","Sci-Fi","37 mins","Winter",2755,"An uninspired and regrettable mess that left me unsatisfied.",9,"2.5 stars","2.6 stars","4-15-1988","1994/11/15","1 hrs"
"Odyssey of Legends",40,0,"Completed College","female","Critic","Employed","Action/Adventure","18 mins","Fall",7179,"Boring and dull.",3,"2.3 stars","2.1 stars","11-15-2011","2013/6/19","2 hrs"
"Innocence Lost",80,0,"Completed College","female","Viewer","Unemployed","Drama","41 mins","Summer",3260,"A tale of courage and triumph that left me breathless.",10,"3.5 stars","3.6 stars","12-4-2011","2011/11/6","1 hrs"
"Forgotten Realms",18,0,"Completed High School","male","Viewer","Student","Drama","38 mins","Summer",3337,"Emotional rollercoaster ride.",3,"3.6 stars","3.7 stars","2-21-2013","2014/1/16","1 hrs"
"Laughter Therapy",40,0,"Completed College","female","Viewer","Employed","Comedy","32 mins","Summer",2829,"An average outing that didn't leave a lasting impact.",10,"3.4 stars","3.2 stars","2-17-1996","1998/11/10","2 hrs"
"Guardians of Destiny",20,0,"Completed College","male","Viewer","Student","Action/Adventure","36 mins","Winter",374,"A lackluster attempt that left me bored and unenthused.",9,"2.4 stars","2.6 stars","7-13-2004","2008/2/14","1 hrs"
"Eternal Sunshine",28,1,"Completed College","male","Viewer","Employed","Drama","18 mins","Summer",4603,"A total crowd-pleaser.",4,"3.9 stars","3.9 stars","5-2-2017","2018/7/10","2 hrs"
"Sweet Serenade",75,0,"Completed College","male","Viewer","Retired","Romance","4 mins","Fall",3730,"A lackluster effort that fell flat in every conceivable way.",10,"2 stars","2.1 stars","4-15-1996","2004/7/16","2 hrs"
"Giggles and Grins",18,0,"Post-Graduate","female","Viewer","Unemployed","Comedy","3 mins","Winter",9926,"An okay outing that didn't fully engage me.",9,"3.4 stars","3.4 stars","10-8-2012","2017/9/5","2 hrs"
"Beyond the Horizon",71,0,"Post-Graduate","female","Viewer","Retired","Action/Adventure","15 mins","Spring",6820,"A film that neither fully engaged nor disconnected me.",9,"3.2 stars","3.1 stars","10-25-2010","2013/8/24","2 hrs"
"Whispers in the Dark",37,0,"Post-Graduate","male","Viewer","Unemployed","Horror","23 mins","Spring",2052,"A so-so narrative that left me feeling indifferent.",9,"2.9 stars","3 stars","11-25-2020","2020/11/6","1 hrs"
"Shattered Reflections",58,0,"Completed High School","male","Critic","Student","Drama","7 mins","Spring",2500,"An in-between experience that hovered in mediocrity.",8,"3.4 stars","3.6 stars","6-15-2017","2017/4/14","2 hrs"
"Whispers in the Dark",23,1,"Completed High School","female","Viewer","Employed","Horror","14 mins","Spring",2052,"It didn't exceed my expectations, but it wasn't bad.",11,"2.9 stars","3.1 stars","6-5-2020","2020/1/7","2 hrs"
"Lost Treasures",63,0,"Post-Graduate","male","Viewer","Employed","Action/Adventure","12 mins","Spring",4040,"I didn't love it, but I didn't hate it either.",12,"3 stars","2.8 stars","9-24-2009","2019/4/13","2 hrs"
"Shadowed Past",67,0,"Completed High School","female","Critic","Employed","Drama","52 mins","Summer",4038,"A neutral journey that left me with mixed feelings.",9,"2.8 stars","2.9 stars","4-25-2017","2018/9/3","1 hrs"
"Reflections of Reality",18,0,"Post-Graduate","male","Viewer","Student","Other","37 mins","Summer",2599,"Thoroughly enjoyable experience.",3,"3.7 stars","3.5 stars","3-4-2019","2021/10/7","1 hrs"
"Whispers of Hope",65,0,"Completed College","female","Viewer","Unemployed","Drama","26 mins","Summer",389,"It had its moments, but overall, it was just okay. I neither loved it nor hated it.",17,"3.1 stars","2.9 stars","7-18-2018","2020/1/28","2 hrs"
"Giggles and Grins",40,1,"Completed High School","female","Viewer","Retired","Comedy","16 mins","Winter",9926,"A true masterpiece that shines in every scene.",8,"4 stars","3.8 stars","12-3-2012","2015/9/9","2 hrs"
"Visions of Valor",74,0,"Post-Graduate","male","Critic","Retired","Action/Adventure","21 mins","Fall",2574,"I expected more, but this movie left me thoroughly dissatisfied.",10,"1.8 stars","1.7 stars","5-16-1987","1991/4/27","2 hrs"
"Cosmic Adventures",34,1,"Completed College","male","Viewer","Employed","Sci-Fi","8 mins","Fall",8655,"I found it to be just average. Nothing special.",9,"3.4 stars","3.4 stars","9-21-2012","2017/12/19","2 hrs"
"Eternal Love",50,0,"Post-Graduate","female","Viewer","Employed","Romance","35 mins","Fall",997,"I've never been so disappointed by a film. The acting was subpar, and the story was a snooze fest.",20,"2.2 stars","2 stars","2-7-2014","2023/10/16","1 hrs"
"Futuristic Frontiers",32,0,"Completed High School","male","Viewer","Employed","Sci-Fi","15 mins","Winter",2755,"A lackluster effort that fell flat in every conceivable way.",10,"2.1 stars","2.2 stars","5-9-1988","1991/11/27","2 hrs"
"Futuristic Frontiers",54,1,"Completed College","female","Critic","Employed","Sci-Fi","10 mins","Winter",2755,"A film that left me bewildered and utterly uninterested.",9,"1.6 stars","1.8 stars","5-23-1988","1992/12/19","2 hrs"
"Legends of Winter",67,0,"Post-Graduate","female","Viewer","Employed","Drama","23 mins","Fall",2617,"An okay watch that didn't quite stand out.",9,"3.2 stars","3.2 stars","6-27-2006","2011/9/27","2 hrs"
"Galactic Odyssey",59,0,"Post-Graduate","male","Viewer","Employed","Sci-Fi","19 mins","Winter",3673,"An uninspired mess that left me wondering why I bothered.",10,"2.4 stars","2.5 stars","9-5-2010","2011/5/18","2 hrs"
"Enchanted Darkness",24,0,"Completed College","female","Viewer","Unemployed","Horror","8 mins","Summer",7361,"An extraordinary journey that left me inspired.",7,"3.6 stars","3.6 stars","12-6-2009","2017/4/16","2 hrs"
"Quest for the Crystal",69,1,"Completed College","female","Viewer","Employed","Action/Adventure","35 mins","Summer",3611,"It was alright, but I've seen better.",8,"3.2 stars","3.3 stars","1-3-1996","1996/10/24","2 hrs"
"Amour Forever",35,1,"Completed High School","female","Viewer","Employed","Romance","17 mins","Fall",6251,"A narrative that fell somewhere in the middle for me.",10,"3.1 stars","3 stars","3-19-2004","2009/10/24","2 hrs"
"Secret of the Ancients",50,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","2 mins","Summer",9029,"Perfectly executed drama.",3,"4.4 stars","4.3 stars","3-21-2020","2022/10/4","2 hrs"
"Rising Stars",71,0,"Post-Graduate","male","Viewer","Retired","Drama","46 mins","Summer",2889,"A passable movie that didn't leave a strong impression.",10,"3.1 stars","3.1 stars","7-11-2000","2000/3/15","1 hrs"
"Soulbound",52,0,"Completed College","female","Critic","Employed","Drama","25 mins","Fall",1618,"A movie that left me uninterested and thoroughly disappointed.",9,"2.7 stars","2.6 stars","3-22-2010","2017/1/25","2 hrs"
"Requiem for a Dream",36,1,"Completed College","female","Critic","Employed","Drama","28 mins","Winter",3517,"A film that left me baffled and questioning its purpose.",10,"2.5 stars","2.6 stars","6-2-2008","2010/6/27","1 hrs"
"Rolling on the Floor",54,1,"Post-Graduate","male","Viewer","Employed","Comedy","3 mins","Summer",410,"Epic storytelling at its best.",5,"3.6 stars","3.6 stars","2-8-2015","2017/9/7","2 hrs"
"Echoes of Valor",36,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","34 mins","Winter",5527,"A movie that left me utterly uninterested and unengaged.",9,"2.1 stars","2.2 stars","10-25-2020","2022/8/22","2 hrs"
"The Mysterious Expedition",40,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","29 mins","Fall",5056,"A movie that didn't fully capture my attention.",9,"2.9 stars","3.1 stars","1-1-2016","2018/12/10","1 hrs"
"Echoes of Eternity",80,0,"Completed College","male","Critic","Retired","Drama","29 mins","Summer",7245,"A middle-of-the-road effort that didn't stand out.",11,"2.8 stars","2.8 stars","11-28-1998","2003/4/9","2 hrs"
"Adventures of the Little Ones",68,0,"Completed High School","female","Critic","Employed","Kids","15 mins","Summer",8607,"I expected more, but this movie left me utterly disappointed.",10,"2.1 stars","1.9 stars","5-2-1997","1997/4/16","2 hrs"
"Shadowed Past",49,1,"Post-Graduate","female","Viewer","Employed","Drama","42 mins","Summer",4038,"Pure cinematic magic that will stay with you forever.",9,"3.7 stars","3.7 stars","1-17-2017","2017/12/14","1 hrs"
"The Hilarious Movie",18,0,"Post-Graduate","male","Viewer","Employed","Comedy","49 mins","Winter",1399,"A film that left me baffled and questioning its purpose.",10,"2.5 stars","2.3 stars","11-24-2014","2019/8/25","1 hrs"
"Empire of Shadows",80,0,"Post-Graduate","female","Critic","Retired","Action/Adventure","39 mins","Summer",9606,"An average outing that didn't fully connect.",8,"2.8 stars","2.8 stars","8-25-2017","2017/7/9","1 hrs"
"Shadowed Past",63,0,"Completed High School","male","Viewer","Employed","Drama","36 mins","Summer",4038,"A true work of art that captures the essence of life.",11,"3.6 stars","3.7 stars","6-20-2017","2018/6/21","1 hrs"
"Enchanted Playtime",18,0,"Post-Graduate","male","Viewer","Student","Kids","4 mins","Spring",1041,"An okay narrative that lacked a distinct identity.",8,"2.9 stars","2.8 stars","10-27-2004","2006/6/22","2 hrs"
"A Glimpse Through Time",63,1,"Completed College","female","Viewer","Employed","Other","16 mins","Fall",8842,"A movie that hovered in the middle ground for me.",10,"2.8 stars","2.9 stars","2-15-1989","1990/1/28","2 hrs"
"The Mysterious Expedition",60,0,"Completed College","male","Critic","Employed","Action/Adventure","41 mins","Fall",5056,"A film that lacked any semblance of quality or coherence.",10,"2.5 stars","2.7 stars","3-3-2016","2017/3/18","1 hrs"
"Soulbound",58,0,"Completed High School","male","Viewer","Student","Drama","46 mins","Fall",1618,"What a treat! This movie exceeded all my expectations. A true cinematic marvel.",13,"3.9 stars","4.1 stars","2-26-2010","2010/8/5","1 hrs"
"Silly Adventures",57,0,"Completed High School","female","Viewer","Employed","Comedy","37 mins","Summer",607,"A disappointment from start to finish. Don't waste your time.",11,"2.6 stars","2.7 stars","4-24-2018","2019/5/17","1 hrs"
"Mystic Whispers",57,0,"Post-Graduate","male","Viewer","Employed","Drama","13 mins","Summer",857,"Neither remarkable nor forgettable - an average flick.",7,"3.2 stars","3.3 stars","1-24-2010","2013/11/2","2 hrs"
