"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Laughter Therapy",80,0,"Post-Graduate","female","Viewer","Retired","Comedy","28 mins","Summer",2829,"Exceeds all expectations.",3,"4 stars","3.9 stars","4-22-1996","2003/4/28","1 hrs"
"Quest for Imagination",71,0,"Completed College","male","Critic","Retired","Kids","23 mins","Summer",3131,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I couldn't wait for it to be over.",21,"1.7 stars","1.8 stars","8-7-2005","2011/5/10","1 hrs"
"Reflections of Reality",50,0,"Completed College","male","Viewer","Employed","Other","17 mins","Summer",2599,"Some moments were good, others not so much.",8,"3 stars","2.9 stars","10-23-2019","2020/6/18","2 hrs"
"Rising Stars",67,0,"Completed College","male","Critic","Employed","Drama","26 mins","Summer",2889,"An agonizing viewing experience that I wish I hadn't endured.",11,"2.6 stars","2.7 stars","7-2-2000","2005/9/27","2 hrs"
"Visions of Valor",35,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","26 mins","Fall",2574,"This film was so bad it's almost impressive. I can't think of a single redeeming quality.",18,"2.6 stars","2.6 stars","5-17-1987","1994/5/23","1 hrs"
"Endless Love",56,0,"Completed College","male","Critic","Employed","Romance","18 mins","Spring",3185,"A film that failed to capture my attention or interest.",10,"2.2 stars","2 stars","11-6-2016","2017/8/11","1 hrs"
"Beyond the Horizon",41,1,"Completed College","female","Viewer","Employed","Action/Adventure","28 mins","Spring",6820,"It had its moments, but overall, it was just okay. I neither loved it nor hated it.",17,"2.8 stars","2.6 stars","11-13-2010","2012/2/19","2 hrs"
"Hilarity Unleashed",53,1,"Completed High School","female","Viewer","Employed","Comedy","15 mins","Fall",7590,"Perfectly executed drama.",3,"3.7 stars","3.7 stars","4-8-2019","2021/9/9","1 hrs"
"Midnight Shadows",49,0,"Post-Graduate","female","Viewer","Employed","Horror","58 mins","Summer",4464,"It was alright, but I've seen better.",8,"3.2 stars","3.2 stars","5-11-1995","1998/4/22","1 hrs"
"Quest for Imagination",34,0,"Completed High School","female","Viewer","Employed","Kids","24 mins","Summer",3131,"I couldn't wait for this movie to end. It was painful to watch, and I couldn't care less about the characters.",23,"2.6 stars","2.6 stars","8-13-2005","2006/7/18","1 hrs"
"Echoes of Valor",61,0,"Completed College","male","Viewer","Employed","Action/Adventure","49 mins","Winter",5527,"A total disappointment that I deeply regret watching.",8,"2.5 stars","2.4 stars","2-14-2020","2021/11/4","1 hrs"
"Odyssey of Hope",63,0,"Completed High School","male","Critic","Employed","Action/Adventure","5 mins","Summer",9797,"Wonderfully done!",2,"3.5 stars","3.7 stars","1-20-2019","2019/9/26","2 hrs"
"The Last Crusade",32,0,"Post-Graduate","male","Viewer","Employed","Action/Adventure","55 mins","Winter",4492,"I was hoping for better, but it was decent enough.",10,"3 stars","3.1 stars","11-11-2015","2016/11/18","1 hrs"
"Shattered Illusions",35,1,"Completed High School","male","Viewer","Employed","Drama","28 mins","Fall",8485,"A true gem of cinema.",5,"4.1 stars","4.2 stars","10-28-2013","2022/4/12","1 hrs"
"Dark Descent",54,2,"Post-Graduate","female","Viewer","Employed","Horror","12 mins","Spring",2185,"A film that fell short in every aspect. Disheartening.",9,"2.4 stars","2.5 stars","1-14-2015","2016/12/19","2 hrs"
"Mystic Shadows",22,0,"Completed High School","female","Critic","Student","Drama","7 mins","Summer",1455,"Meh. It was neither great nor terrible. I had mixed feelings about this one.",14,"3.2 stars","3.2 stars","3-23-2010","2014/9/13","2 hrs"
"Odyssey of Hope",48,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","51 mins","Summer",9797,"Cinematic excellence shines.",3,"3.6 stars","3.6 stars","8-4-2019","2021/12/6","1 hrs"
"Under the Rainbow",34,0,"Completed High School","female","Viewer","Employed","Kids","30 mins","Summer",530,"A film that lacked any semblance of coherence or quality.",10,"2.2 stars","2.3 stars","7-2-1996","2000/10/10","1 hrs"
"Guardians of Destiny",27,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","47 mins","Winter",374,"I expected more from this movie, but it was a letdown. The story was predictable, and the acting was mediocre.",20,"1.1 stars","1 stars","5-19-2004","2004/4/19","1 hrs"
"The Hilarious Movie",29,0,"Completed High School","female","Viewer","Employed","Comedy","16 mins","Winter",1399,"A film with its share of highs and lows.",9,"2.9 stars","2.7 stars","3-15-2014","2019/6/11","2 hrs"
"Realm of Illusions",18,0,"Completed College","male","Viewer","Student","Drama","51 mins","Summer",1520,"Exceptional storytelling that had me hooked.",6,"3.5 stars","3.4 stars","4-1-2005","2005/11/27","1 hrs"
"Reflections of Reality",32,1,"Post-Graduate","male","Critic","Employed","Other","17 mins","Summer",2599,"A film that lacked direction and substance. Avoid at all costs.",11,"2.1 stars","2 stars","7-26-2019","2019/5/3","2 hrs"
"In Search of Truth",40,0,"Post-Graduate","female","Viewer","Employed","Other","21 mins","Summer",6040,"A middle-of-the-road movie. It didn't stand out in any way.",14,"2.9 stars","2.7 stars","9-9-2007","2008/2/15","2 hrs"
"The Adventurous Quest",62,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","2 mins","Summer",9822,"A passable movie that didn't leave a strong impression.",10,"3.2 stars","3.4 stars","10-26-2011","2014/1/28","2 hrs"
"Raiders of the Unknown",24,0,"Completed College","male","Viewer","Unemployed","Action/Adventure","28 mins","Summer",6957,"A work of pure genius.",5,"3.6 stars","3.6 stars","10-15-2018","2018/7/20","2 hrs"
"Midnight Shadows",76,0,"Post-Graduate","male","Viewer","Retired","Horror","17 mins","Summer",4464,"A movie that didn't quite make a lasting impression.",10,"3.2 stars","3.2 stars","10-2-1995","1996/12/15","2 hrs"
"Frozen in Time",57,0,"Post-Graduate","female","Critic","Employed","Drama","21 mins","Winter",2736,"A film that failed to capture my attention or interest.",10,"2.6 stars","2.8 stars","8-3-1984","1992/6/4","1 hrs"
"A Glimpse Through Time",30,0,"Post-Graduate","female","Critic","Employed","Other","24 mins","Fall",8842,"I had high hopes for this film, but it was a letdown. The characters were one-dimensional, and the story was a mess.",23,"2 stars","1.9 stars","10-10-1989","1993/10/23","1 hrs"
"Shattered Illusions",80,0,"Completed High School","female","Critic","Employed","Drama","59 mins","Fall",8485,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,"2.7 stars","2.8 stars","1-8-2013","2017/4/18","1 hrs"
"Beyond Boundaries",18,0,"Completed High School","male","Viewer","Employed","Other","17 mins","Fall",8184,"It didn't wow me, but it was watchable.",9,"2.9 stars","2.8 stars","4-2-2018","2020/4/16","1 hrs"
"Hilarity Unleashed",70,0,"Post-Graduate","female","Critic","Retired","Comedy","41 mins","Fall",7590,"It's neither here nor there, just an average movie.",10,"3.2 stars","3 stars","6-25-2019","2020/2/16","1 hrs"
"Adventures of the Little Ones",19,0,"Completed College","male","Viewer","Employed","Kids","52 mins","Summer",8607,"An uninspired mess that left me utterly unimpressed.",8,"2.4 stars","2.4 stars","3-27-1997","1998/10/27","1 hrs"
"The Hilarious Movie",58,0,"Post-Graduate","female","Viewer","Employed","Comedy","22 mins","Winter",1399,"An average journey that didn't fully engage me.",9,"3 stars","2.8 stars","12-9-2014","2015/9/11","2 hrs"
"A Glimpse Through Time",47,1,"Completed High School","male","Viewer","Employed","Other","32 mins","Fall",8842,"I can't say it's great, but it's not awful either.",13,"2.8 stars","2.8 stars","10-10-1989","1996/10/12","1 hrs"
"Whispers of Fate",33,1,"Completed High School","male","Viewer","Employed","Drama","33 mins","Fall",8887,"An absolute joy to watch, full of heart and soul.",10,"3.7 stars","3.8 stars","7-1-2009","2017/12/16","1 hrs"
"Quest for Glory",27,3,"Post-Graduate","male","Viewer","Employed","Action/Adventure","22 mins","Spring",8533,"Instant classic material.",3,"3.6 stars","3.5 stars","1-18-2009","2016/9/18","1 hrs"
"Legends of Winter",50,2,"Post-Graduate","female","Viewer","Employed","Drama","59 mins","Fall",2617,"Deserves all the praise.",4,"3.7 stars","3.8 stars","2-6-2006","2009/10/12","1 hrs"
"Empire of Shadows",45,1,"Completed College","male","Viewer","Employed","Action/Adventure","2 mins","Summer",9606,"A film that neither impressed nor disappointed me.",8,"3.4 stars","3.2 stars","2-12-2017","2019/5/14","2 hrs"
"Reflections of Reality",56,0,"Completed College","female","Viewer","Employed","Other","34 mins","Summer",2599,"A narrative that hovered in mediocrity without standing out.",9,"3.2 stars","3.3 stars","2-16-2019","2021/1/14","2 hrs"
"Wanderlust",57,0,"Post-Graduate","female","Critic","Employed","Other","44 mins","Summer",3716,"An uninspired mess that left me wondering why it was made.",11,"2.2 stars","2.1 stars","8-8-1998","2001/3/22","1 hrs"
"Requiem for a Dream",73,0,"Post-Graduate","female","Viewer","Retired","Drama","34 mins","Winter",3517,"A movie that hovered in the middle ground for me.",10,"3.2 stars","3.2 stars","7-27-2008","2011/9/2","1 hrs"
"Realm of Legends",76,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","32 mins","Summer",7968,"There are parts I liked, but overall, it's average.",10,"3 stars","3.2 stars","2-3-1996","2003/5/11","1 hrs"
"The Last Crusade",24,0,"Post-Graduate","female","Viewer","Student","Action/Adventure","8 mins","Winter",4492,"A misfire that lacked direction and purpose. Avoid at all costs.",11,"2.4 stars","2.3 stars","10-14-2015","2017/10/27","2 hrs"
"Futuristic Frontiers",77,0,"Completed High School","male","Critic","Retired","Sci-Fi","56 mins","Winter",2755,"Terrible film.",2,"1.6 stars","1.7 stars","4-8-1988","1991/1/20","1 hrs"
"Whispers of Fate",43,0,"Post-Graduate","male","Viewer","Employed","Drama","35 mins","Fall",8887,"It was alright, but I've seen better.",8,"3.2 stars","3 stars","9-19-2009","2011/2/16","2 hrs"
"Enchanted Expeditions",54,0,"Completed College","female","Viewer","Retired","Action/Adventure","25 mins","Summer",1969,"A lukewarm experience that neither wowed nor disappointed.",8,"2.8 stars","2.7 stars","10-7-2017","2018/9/24","1 hrs"
"Eternal Echoes",51,0,"Post-Graduate","female","Viewer","Employed","Drama","40 mins","Summer",7130,"A heartfelt and inspiring journey worth taking.",7,"4 stars","3.9 stars","4-9-1992","2000/11/24","1 hrs"
"Legends of Winter",47,1,"Completed College","male","Critic","Employed","Drama","15 mins","Fall",2617,"A lackluster attempt that left me bored and uninspired.",9,"2.6 stars","2.5 stars","8-15-2006","2014/2/2","1 hrs"
"Beneath the Surface",35,1,"Completed College","male","Viewer","Employed","Drama","0 mins","Fall",9202,"A journey worth taking.",4,"4.1 stars","4.1 stars","2-5-2011","2020/11/4","2 hrs"
"Mystic Shadows",37,0,"Post-Graduate","male","Viewer","Unemployed","Drama","27 mins","Summer",1455,"It's an average movie, nothing to rave about.",9,"3.2 stars","3.2 stars","3-6-2010","2013/9/13","1 hrs"
