"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Beyond the Stars",31,2,"Completed College","female","Viewer","Employed","Sci-Fi","20 mins","Summer",3305,"It's just an okay film, nothing exceptional.",8,"3.2 stars","3.1 stars","12-7-1997","2003/10/23","1 hrs"
"Shattered Illusions",37,1,"Post-Graduate","male","Critic","Unemployed","Drama","17 mins","Fall",8485,"A middle-of-the-road film with its moments of intrigue.",11,"3.4 stars","3.5 stars","3-10-2013","2017/4/27","2 hrs"
"Echoes of Valor",35,0,"Completed College","female","Viewer","Employed","Action/Adventure","46 mins","Winter",5527,"It wasn't remarkable, but it wasn't awful either.",10,"2.8 stars","2.7 stars","3-12-2020","2021/2/22","1 hrs"
"Eerie Echoes",34,1,"Completed College","male","Viewer","Employed","Horror","22 mins","Fall",9634,"An unforgettable experience! The deep emotional connections and the exploration of human nature in this movie were thought-provoking. I highly recommend it.",23,"3.5 stars","3.3 stars","12-28-2018","2019/5/5","1 hrs"
"Innocence Lost",41,0,"Post-Graduate","female","Viewer","Employed","Drama","57 mins","Summer",3260,"A cinematic triumph!",3,"3.8 stars","3.8 stars","7-28-2011","2016/10/5","1 hrs"
"Joyful Journeys",78,0,"Completed High School","female","Viewer","Retired","Kids","24 mins","Spring",9030,"An uninspired mess that left me wondering why it was made.",11,"2.3 stars","2.1 stars","10-21-2005","2010/8/12","1 hrs"
"The Last Crusade",27,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","16 mins","Winter",4492,"A film that didn't leave a lasting mark.",9,"3.1 stars","3.1 stars","2-16-2015","2015/9/8","2 hrs"
"Midnight Shadows",54,1,"Post-Graduate","female","Viewer","Employed","Horror","27 mins","Summer",4464,"Every frame felt like a work of art. A must-see.",11,"3.8 stars","3.9 stars","8-9-1995","1999/10/25","1 hrs"
"Eternal Sunshine",80,0,"Post-Graduate","female","Viewer","Retired","Drama","18 mins","Summer",4603,"A tale of courage and triumph that left me breathless.",10,"4 stars","4 stars","1-1-2017","2017/6/14","1 hrs"
"The Hilarious Movie",18,0,"Post-Graduate","female","Critic","Student","Comedy","28 mins","Winter",1399,"Not a standout, but it's not entirely forgettable.",9,"3.4 stars","3.3 stars","9-4-2014","2018/1/14","2 hrs"
"Beyond Boundaries",63,0,"Post-Graduate","male","Viewer","Employed","Other","24 mins","Fall",8184,"Exquisite and thought-provoking. A must-watch.",7,"3.6 stars","3.4 stars","9-2-2018","2018/1/14","1 hrs"
"Lost Treasures",25,1,"Completed College","male","Viewer","Student","Action/Adventure","49 mins","Spring",4040,"A remarkable achievement that touched my soul.",7,"4.2 stars","4 stars","4-16-2009","2014/5/27","1 hrs"
"Requiem for a Dream",74,0,"Post-Graduate","female","Viewer","Retired","Drama","9 mins","Winter",3517,"I expected more, but it fell short.",7,"2.9 stars","3 stars","9-16-2008","2009/7/5","2 hrs"
"Legends of Winter",61,0,"Post-Graduate","male","Viewer","Employed","Drama","12 mins","Fall",2617,"I expected more, but this movie left me utterly disappointed.",10,"2.1 stars","2 stars","1-24-2006","2011/12/5","2 hrs"
"Raiders of the Unknown",52,0,"Completed High School","male","Critic","Employed","Action/Adventure","45 mins","Summer",6957,"Not worth your money, disappointing.",5,"2.5 stars","2.7 stars","9-16-2018","2018/5/16","1 hrs"
"Fading Memories",43,0,"Post-Graduate","female","Viewer","Employed","Drama","13 mins","Winter",1885,"A film that didn't leave a lasting impression.",9,"3.3 stars","3.3 stars","6-11-2001","2002/10/16","2 hrs"
"Beneath the Surface",18,0,"Completed College","female","Viewer","Employed","Drama","11 mins","Fall",9202,"A heartfelt triumph that resonated with my soul.",8,"3.6 stars","3.6 stars","3-17-2011","2018/2/23","2 hrs"
"The Hilarious Movie",27,1,"Completed College","male","Viewer","Employed","Comedy","29 mins","Winter",1399,"I was blown away by the sheer brilliance of this film.",11,"3.5 stars","3.4 stars","5-17-2014","2023/7/19","2 hrs"
"Echoes of Eternity",28,1,"Completed High School","female","Viewer","Employed","Drama","18 mins","Summer",7245,"It's not remarkable, but it's not terrible either.",10,"3.4 stars","3.5 stars","9-12-1998","1998/11/19","1 hrs"
"Echoes of Valor",70,0,"Completed College","female","Viewer","Retired","Action/Adventure","31 mins","Winter",5527,"I wouldn't recommend this movie to anyone. It was boring, poorly acted, and had a terrible script.",18,"2.6 stars","2.7 stars","9-18-2020","2022/6/28","2 hrs"
"Endless Love",41,0,"Post-Graduate","male","Viewer","Employed","Romance","24 mins","Spring",3185,"A work of art that transcends the ordinary.",8,"3.5 stars","3.4 stars","1-4-2016","2018/10/20","1 hrs"
"Galactic Odyssey",42,1,"Post-Graduate","female","Critic","Employed","Sci-Fi","35 mins","Winter",3673,"A film that was as dull as it was disappointing.",10,"1.9 stars","1.9 stars","7-1-2010","2012/11/25","2 hrs"
"Eternal Echoes",31,1,"Post-Graduate","male","Viewer","Employed","Drama","35 mins","Summer",7130,"An emotional tour de force that left me moved.",9,"4.5 stars","4.4 stars","3-28-1992","1998/11/2","1 hrs"
"Midnight Shadows",45,0,"Post-Graduate","female","Critic","Employed","Horror","52 mins","Summer",4464,"A film that left me bewildered and utterly uninterested.",9,"2.7 stars","2.9 stars","4-8-1995","2003/4/10","1 hrs"
"Love in the Air",18,0,"Completed High School","female","Viewer","Employed","Romance","43 mins","Summer",6969,"A heartfelt and beautifully crafted cinematic journey.",7,"4 stars","3.9 stars","10-5-2018","2018/10/9","1 hrs"
"Midnight Whispers",64,0,"Completed College","female","Viewer","Employed","Drama","37 mins","Summer",9341,"A symphony of emotions that left me deeply touched.",9,"4 stars","3.9 stars","12-6-2012","2012/9/13","1 hrs"
"Reflections of Reality",60,0,"Post-Graduate","male","Viewer","Employed","Other","26 mins","Summer",2599,"I was hoping for better, but it was decent enough.",10,"3.1 stars","2.9 stars","12-15-2019","2020/3/21","2 hrs"
"Journey to the Unknown",73,0,"Completed College","female","Viewer","Retired","Action/Adventure","45 mins","Summer",2537,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I regret ever watching it.",17,"2.7 stars","2.5 stars","1-19-2000","2002/3/15","1 hrs"
"Wanderlust",41,1,"Post-Graduate","female","Critic","Employed","Other","31 mins","Summer",3716,"I was excited to see this film, but it turned out to be a mess. The plot was incoherent, and the characters were forgettable.",24,"1.8 stars","2 stars","10-16-1998","2000/5/28","1 hrs"
"Futuristic Frontiers",62,0,"Completed College","female","Viewer","Employed","Sci-Fi","20 mins","Winter",2755,"This film was a disaster. The script felt like it was written by a five-year-old, and the acting was equally amateurish.",23,"2.5 stars","2.4 stars","5-16-1988","1988/1/6","1 hrs"
"Stellar Explorers",21,0,"Post-Graduate","female","Viewer","Employed","Sci-Fi","7 mins","Fall",8106,"I'm neutral about this one, neither good nor bad.",10,"3.1 stars","3 stars","1-15-2013","2013/11/8","2 hrs"
"Visions of Valor",60,0,"Post-Graduate","male","Viewer","Employed","Action/Adventure","14 mins","Fall",2574,"An uninspired and forgettable endeavor that isn't worth your time.",11,"2.7 stars","2.8 stars","8-9-1987","1992/12/6","2 hrs"
"Mystic Shadows",51,1,"Completed High School","female","Critic","Employed","Drama","44 mins","Summer",1455,"A film that had its moments but didn't fully resonate.",11,"3.3 stars","3.2 stars","6-22-2010","2013/3/9","1 hrs"
"Crimson Echoes",67,0,"Completed College","male","Critic","Employed","Drama","37 mins","Fall",955,"A movie that left me utterly uninterested and unengaged.",9,"2.6 stars","2.8 stars","9-7-1995","2001/4/25","1 hrs"
"Crimson Echoes",65,0,"Post-Graduate","female","Critic","Employed","Drama","36 mins","Fall",955,"I don't know how this movie got made. It was a complete disaster from start to finish.",18,"2.7 stars","2.8 stars","1-21-1995","1998/11/19","1 hrs"
"Lost in Time",23,0,"Completed College","male","Viewer","Employed","Drama","34 mins","Summer",8311,"A breathtaking masterpiece that speaks to the heart.",8,"3.6 stars","3.7 stars","11-27-2019","2019/12/11","1 hrs"
"Eternal Sunshine",55,0,"Completed High School","male","Critic","Employed","Drama","7 mins","Summer",4603,"An instant classic that will be cherished for years.",9,"3.9 stars","4.1 stars","12-23-2017","2017/6/16","2 hrs"
"Forgotten Realms",80,0,"Post-Graduate","male","Viewer","Employed","Drama","51 mins","Summer",3337,"A film to remember.",4,"3.7 stars","3.6 stars","1-18-2013","2017/7/10","1 hrs"
"Lost in Time",34,1,"Post-Graduate","male","Critic","Employed","Drama","11 mins","Summer",8311,"A film that didn't fully resonate with me.",9,"3.4 stars","3.2 stars","8-18-2019","2021/2/9","2 hrs"
"The Hilarious Movie",60,0,"Completed College","female","Viewer","Employed","Comedy","5 mins","Winter",1399,"It's just an okay film, nothing exceptional.",8,"3.4 stars","3.6 stars","5-25-2014","2020/5/2","2 hrs"
"Frozen in Time",48,1,"Post-Graduate","male","Viewer","Employed","Drama","7 mins","Winter",2736,"A cinematic triumph!",3,"3.9 stars","3.9 stars","3-16-1984","1984/8/20","2 hrs"
"Rise of the Phoenix",43,0,"Completed High School","female","Critic","Employed","Action/Adventure","14 mins","Winter",6613,"An uninspired and forgettable mess that isn't worth your time.",11,"2.5 stars","2.4 stars","8-17-2006","2012/9/9","2 hrs"
"Innocence Lost",59,0,"Post-Graduate","female","Viewer","Employed","Drama","18 mins","Summer",3260,"A cinematic triumph that left me in awe.",8,"4 stars","4 stars","11-2-2011","2011/2/12","1 hrs"
"Secret of the Ancients",65,0,"Post-Graduate","female","Viewer","Student","Action/Adventure","37 mins","Summer",9029,"Incredible performances throughout.",3,"4.2 stars","4.2 stars","12-13-2020","2022/8/17","1 hrs"
"Visions of Valor",35,0,"Completed College","male","Viewer","Employed","Action/Adventure","37 mins","Fall",2574,"I couldn't connect with any of the characters. The dialogue was cringe-worthy, and the ending was just plain ridiculous.",21,"2.3 stars","2.4 stars","4-3-1987","1988/6/25","1 hrs"
"In Search of Truth",50,1,"Post-Graduate","male","Critic","Employed","Other","33 mins","Summer",6040,"A lackluster effort that fell flat in every conceivable way.",10,"2.7 stars","2.6 stars","11-16-2007","2014/1/21","1 hrs"
"Sweet Serenade",60,0,"Post-Graduate","male","Viewer","Employed","Romance","18 mins","Fall",3730,"A neutral watch that didn't evoke strong emotions.",9,"2.9 stars","3 stars","5-14-1996","2004/3/21","2 hrs"
"Shattered Reflections",20,0,"Post-Graduate","female","Viewer","Employed","Drama","28 mins","Spring",2500,"An in-between experience that left me with mixed thoughts.",10,"3.2 stars","3.2 stars","2-23-2017","2019/3/10","2 hrs"
"Eternal Love",74,0,"Post-Graduate","female","Viewer","Unemployed","Romance","40 mins","Fall",997,"I can't say I was thrilled, but it wasn't terrible either. I found it to be just average.",20,"2.8 stars","2.8 stars","7-19-2014","2020/5/7","1 hrs"
"Joyful Journeys",27,0,"Post-Graduate","female","Viewer","Employed","Kids","17 mins","Spring",9030,"I can't say I was thrilled, but it wasn't terrible either.",13,"2.8 stars","2.8 stars","8-15-2005","2012/2/28","2 hrs"
"Broken Promises",80,0,"Post-Graduate","male","Viewer","Retired","Drama","7 mins","Fall",5560,"A middle-of-the-road effort that didn't stand out.",11,"3.1 stars","2.9 stars","10-12-2008","2012/9/23","2 hrs"
"Guardians of Destiny",47,1,"Completed High School","female","Critic","Employed","Action/Adventure","22 mins","Winter",374,"A film that left me bewildered and completely unsatisfied.",9,"1.9 stars","1.9 stars","8-15-2004","2010/9/18","2 hrs"
"Dark Descent",33,3,"Completed College","male","Viewer","Employed","Horror","18 mins","Spring",2185,"A cinematic catastrophe. The plot was a jumbled mess, and the characters were unlikable.",14,"2.4 stars","2.2 stars","11-8-2015","2015/3/15","2 hrs"
"Edge of Eternity",74,0,"Post-Graduate","female","Viewer","Employed","Drama","41 mins","Winter",4137,"A film that left me bewildered and completely unsatisfied.",9,"2.7 stars","2.7 stars","8-12-2018","2018/2/5","1 hrs"
"Midnight Shadows",47,1,"Completed High School","male","Viewer","Employed","Horror","52 mins","Summer",4464,"Some parts were good, others were mediocre.",7,"3.4 stars","3.4 stars","11-4-1995","2003/2/28","1 hrs"
"Love in the Air",79,0,"Post-Graduate","female","Viewer","Retired","Romance","24 mins","Summer",6969,"This film is a gem. It's a rollercoaster of emotions that I didn't want to end. Highly recommended!",20,"3.8 stars","3.8 stars","12-1-2018","2019/5/7","2 hrs"
"Midnight Shadows",37,0,"Completed High School","male","Critic","Unemployed","Horror","54 mins","Summer",4464,"An agonizing viewing experience that I won't soon forget.",10,"2.7 stars","2.6 stars","2-27-1995","1997/1/26","1 hrs"
"Lost in Time",35,0,"Completed College","female","Viewer","Employed","Drama","43 mins","Summer",8311,"Absolutely outstanding!",2,"3.6 stars","3.7 stars","10-14-2019","2020/10/15","1 hrs"
"Tales of Tiny Explorers",41,0,"Post-Graduate","female","Critic","Employed","Kids","11 mins","Fall",4368,"A lackluster effort that fell flat in every conceivable aspect.",10,"1.9 stars","1.9 stars","10-3-2002","2007/10/8","2 hrs"
"Requiem for a Dream",18,0,"Completed High School","female","Viewer","Student","Drama","45 mins","Winter",3517,"Cinematic excellence shines.",3,"4.1 stars","4.3 stars","10-4-2008","2010/6/16","1 hrs"
"Eternal Echoes",54,1,"Completed High School","female","Viewer","Employed","Drama","39 mins","Summer",7130,"A cinematic treasure that leaves you with a warm feeling. It's a must-watch for all ages.",18,"4.3 stars","4.4 stars","11-19-1992","1994/6/21","1 hrs"
"Love in the Air",41,0,"Completed College","male","Viewer","Employed","Romance","27 mins","Summer",6969,"A middle-of-the-road watch that left me feeling neutral.",11,"3.2 stars","3.2 stars","5-20-2018","2020/3/14","2 hrs"
"Legends Reborn",18,0,"Completed High School","female","Critic","Student","Action/Adventure","21 mins","Fall",5896,"I can't say I loved it, but I didn't hate it either.",14,"2.9 stars","3 stars","4-25-2008","2013/2/1","1 hrs"
"Rise of the Phoenix",56,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","45 mins","Winter",6613,"A film that didn't fully resonate with me.",9,"3.1 stars","3.2 stars","2-28-2006","2008/2/13","1 hrs"
"Forgotten Realms",48,0,"Post-Graduate","female","Critic","Employed","Drama","24 mins","Summer",3337,"A passable movie that didn't leave a strong impression.",10,"2.8 stars","2.6 stars","10-26-2013","2013/3/27","1 hrs"
"In Search of Truth",49,0,"Post-Graduate","male","Viewer","Retired","Other","32 mins","Summer",6040,"A lackluster attempt that fell short in every way.",9,"2.6 stars","2.6 stars","2-18-2007","2011/6/16","2 hrs"
"Odyssey of Hope",43,1,"Completed High School","female","Viewer","Employed","Action/Adventure","22 mins","Summer",9797,"Every frame felt like a work of art. A must-see.",11,"3.7 stars","3.5 stars","10-26-2019","2019/1/2","1 hrs"
"In Search of Truth",40,0,"Completed College","female","Viewer","Employed","Other","16 mins","Summer",6040,"A middle-of-the-road experience with its ups and downs.",11,"3 stars","3.1 stars","11-18-2007","2011/2/19","2 hrs"
"Lost Treasures",30,0,"Completed High School","female","Viewer","Employed","Action/Adventure","57 mins","Spring",4040,"A lukewarm experience that neither wowed nor disappointed.",8,"3.3 stars","3.2 stars","8-13-2009","2011/12/5","1 hrs"
"Eternal Echoes",61,0,"Post-Graduate","male","Critic","Employed","Drama","24 mins","Summer",7130,"Touched my heart deeply.",4,"3.5 stars","3.4 stars","2-4-1992","1993/7/26","2 hrs"
"Whispers in the Dark",60,0,"Post-Graduate","male","Critic","Employed","Horror","13 mins","Spring",2052,"I expected so much more from this film, but it fell flat. Boring and uninspired, it left me with a sense of wasted potential.",24,"1.8 stars","2 stars","9-13-2020","2022/12/15","2 hrs"
"Realm of Illusions",66,0,"Post-Graduate","female","Viewer","Employed","Drama","26 mins","Summer",1520,"An adequate watch with its share of strengths and weaknesses.",10,"3.3 stars","3.4 stars","1-4-2005","2007/3/19","2 hrs"
"Guardians of the Ancients",24,1,"Completed High School","male","Viewer","Employed","Action/Adventure","30 mins","Summer",3224,"It's just an average movie, nothing special.",8,"3.2 stars","3.1 stars","8-27-2014","2020/7/21","2 hrs"
"Chronicles of Courage",25,1,"Post-Graduate","female","Critic","Student","Action/Adventure","13 mins","Summer",1983,"A complete letdown that I wouldn't wish upon anyone.",10,"2.3 stars","2.5 stars","8-23-1995","2003/8/23","2 hrs"
"Wonderland Adventures",61,0,"Post-Graduate","female","Critic","Employed","Kids","27 mins","Spring",2160,"Not worth watching.",3,"2.4 stars","2.3 stars","9-7-2012","2013/5/16","1 hrs"
"Quest for Glory",65,0,"Completed High School","female","Viewer","Employed","Action/Adventure","48 mins","Spring",8533,"What a treat! This movie exceeded all my expectations. A true cinematic marvel.",13,"3.7 stars","3.9 stars","9-5-2009","2017/5/2","1 hrs"
"Enchanted Playtime",36,0,"Completed College","female","Critic","Retired","Kids","58 mins","Spring",1041,"A movie that failed to deliver on its promises. Disappointing.",10,"1.8 stars","1.7 stars","2-4-2004","2009/3/22","1 hrs"
"Whimsical Whispers",27,1,"Post-Graduate","female","Viewer","Employed","Comedy","27 mins","Summer",6627,"Stellar performances and an unforgettable storyline.",6,"3.8 stars","3.7 stars","2-5-2020","2020/10/25","1 hrs"
"Shattered Reflections",51,1,"Post-Graduate","male","Viewer","Employed","Drama","29 mins","Spring",2500,"Engaging and heartfelt.",3,"3.5 stars","3.6 stars","10-11-2017","2018/12/6","2 hrs"
"Quest for Imagination",20,0,"Post-Graduate","female","Critic","Employed","Kids","0 mins","Summer",3131,"An absolute disaster that failed to hold my attention.",9,"1.7 stars","1.9 stars","3-17-2005","2012/1/9","2 hrs"
"Sweet Serenade",55,0,"Post-Graduate","male","Viewer","Employed","Romance","56 mins","Fall",3730,"I wouldn't wish this movie on my worst enemy. It was poorly executed in every way possible.",18,"2.4 stars","2.3 stars","9-2-1996","2000/6/5","1 hrs"
"Under the Rainbow",79,0,"Post-Graduate","male","Viewer","Unemployed","Kids","52 mins","Summer",530,"A lackluster attempt that left me bored and unenthused.",9,"2.5 stars","2.4 stars","1-21-1996","1998/12/13","1 hrs"
"Raiders of the Unknown",18,0,"Completed High School","female","Viewer","Student","Action/Adventure","17 mins","Summer",6957,"I can't say it's great, but it's not awful either.",13,"3.4 stars","3.2 stars","5-6-2018","2018/2/21","1 hrs"
