"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Edge of Eternity",39,0,"Post-Graduate","female","Viewer","Employed","Drama","34 mins","Winter",4137,"A neutral journey that left me with mixed feelings.",9,"3.1 stars","3 stars","1-28-2018","2020/12/5","1 hrs"
"Amour Forever",80,0,"Completed College","female","Viewer","Retired","Romance","21 mins","Fall",6251,"A movie that failed to live up to its potential. Disappointing.",11,"2.6 stars","2.8 stars","12-6-2004","2005/6/21","2 hrs"
"Shattered Illusions",30,3,"Post-Graduate","female","Viewer","Employed","Drama","44 mins","Fall",8485,"This movie is a triumph. It's an emotional rollercoaster that will leave you in awe of the human spirit.",20,"3.9 stars","4 stars","5-11-2013","2016/10/25","1 hrs"
"Love's Embrace",54,0,"Completed College","female","Viewer","Employed","Romance","40 mins","Winter",9616,"I expected more from this film, but it failed to deliver. The pacing was off, and the ending was unsatisfying.",20,"2.6 stars","2.7 stars","4-27-1983","1991/12/22","1 hrs"
"Stellar Explorers",54,1,"Completed College","male","Critic","Unemployed","Sci-Fi","27 mins","Fall",8106,"This movie was so bad it's almost impressive. I can't think of a single redeeming quality.",18,"2.7 stars","2.6 stars","4-1-2013","2013/11/25","2 hrs"
"Broken Promises",54,0,"Completed College","female","Viewer","Student","Drama","24 mins","Fall",5560,"A genuine delight that radiates joy and inspiration.",8,"3.7 stars","3.7 stars","12-28-2008","2013/11/26","1 hrs"
"Wanderlust",50,1,"Completed College","male","Critic","Employed","Other","27 mins","Summer",3716,"A lackluster attempt that fell short in every way.",9,"2.3 stars","2.4 stars","5-21-1998","2005/11/1","1 hrs"
"Reflections of Reality",39,0,"Completed College","female","Critic","Unemployed","Other","21 mins","Summer",2599,"A film that lacked direction and substance. Avoid at all costs.",11,"2.3 stars","2.2 stars","8-1-2019","2021/5/22","1 hrs"
"Odyssey of Legends",55,0,"Completed College","male","Critic","Employed","Action/Adventure","9 mins","Fall",7179,"Terrible film.",2,"2.7 stars","2.7 stars","8-8-2011","2020/5/27","2 hrs"
"Reflections of Reality",33,1,"Post-Graduate","female","Viewer","Employed","Other","57 mins","Summer",2599,"A so-so film with some redeeming qualities.",8,"3.4 stars","3.2 stars","6-18-2019","2019/8/18","1 hrs"
"Enchanted Expeditions",57,0,"Completed College","female","Critic","Employed","Action/Adventure","4 mins","Summer",1969,"I wouldn't recommend this movie to anyone. It was boring, poorly acted, and had a terrible script.",18,"2.2 stars","2.1 stars","1-6-2017","2019/9/1","2 hrs"
"Legends of Winter",42,1,"Post-Graduate","female","Critic","Employed","Drama","54 mins","Fall",2617,"An in-between experience that hovered in mediocrity.",8,"2.8 stars","2.8 stars","4-6-2006","2009/5/8","1 hrs"
"Beyond the Stars",61,0,"Post-Graduate","male","Viewer","Employed","Sci-Fi","28 mins","Summer",3305,"I wouldn't wish this movie on my worst enemy. It was a painful experience from start to finish.",19,"2.7 stars","2.8 stars","2-7-1997","2004/9/2","1 hrs"
"Enchanted Darkness",26,1,"Post-Graduate","male","Critic","Employed","Horror","19 mins","Summer",7361,"A so-so narrative that left me feeling indifferent.",9,"3.2 stars","3.3 stars","7-13-2009","2013/4/10","1 hrs"
"Sweet Serenade",39,1,"Completed College","male","Viewer","Employed","Romance","32 mins","Fall",3730,"A total waste of time that I deeply regret.",9,"2.5 stars","2.6 stars","1-19-1996","1999/5/6","1 hrs"
"Empire of Shadows",62,0,"Completed College","female","Viewer","Employed","Action/Adventure","18 mins","Summer",9606,"I had mixed feelings about this one.",7,"3 stars","3 stars","12-14-2017","2017/7/28","2 hrs"
"Quest for Imagination",69,0,"Completed College","male","Critic","Employed","Kids","30 mins","Summer",3131,"A film that left me baffled and questioning its purpose.",10,"2.2 stars","2.3 stars","2-2-2005","2005/11/4","2 hrs"
"Whispers of Hope",50,1,"Post-Graduate","male","Viewer","Employed","Drama","32 mins","Summer",389,"Thoroughly enjoyable experience.",3,"3.5 stars","3.7 stars","3-4-2018","2018/9/2","2 hrs"
"In Search of Truth",41,1,"Completed College","male","Viewer","Employed","Other","9 mins","Summer",6040,"A neutral watch that didn't evoke strong emotions.",9,"3.1 stars","3 stars","5-14-2007","2008/8/26","2 hrs"
"Reflections of Reality",58,0,"Post-Graduate","male","Critic","Employed","Other","55 mins","Summer",2599,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,"2.4 stars","2.5 stars","3-6-2019","2021/3/27","1 hrs"
"Silly Adventures",53,0,"Completed College","male","Viewer","Employed","Comedy","27 mins","Summer",607,"Every frame felt like a work of art. A must-see.",11,"3.5 stars","3.4 stars","10-8-2018","2019/7/22","2 hrs"
"Shadowed Past",70,0,"Completed College","female","Viewer","Retired","Drama","8 mins","Summer",4038,"A middle-of-the-road movie, nothing exceptional.",8,"3.4 stars","3.4 stars","9-2-2017","2017/12/26","2 hrs"
"Futuristic Frontiers",80,0,"Completed College","female","Viewer","Retired","Sci-Fi","30 mins","Winter",2755,"I wouldn't recommend this movie to anyone. It was boring, poorly acted, and had a terrible script.",18,"2 stars","2.1 stars","8-13-1988","1993/12/19","1 hrs"
"Unbreakable Bonds",49,3,"Completed College","male","Viewer","Employed","Romance","24 mins","Spring",6916,"A movie that didn't quite live up to the hype.",11,"3.3 stars","3.3 stars","12-12-2015","2016/9/13","2 hrs"
"Echoes of Eternity",74,0,"Post-Graduate","male","Viewer","Unemployed","Drama","29 mins","Summer",7245,"A genuine delight that radiates joy and inspiration.",8,"3.6 stars","3.5 stars","8-26-1998","2003/7/6","2 hrs"
"Clash of Titans",57,0,"Post-Graduate","male","Critic","Employed","Action/Adventure","26 mins","Summer",3638,"A film that failed to impress on any level. Disheartening.",10,"2.1 stars","2 stars","4-15-2015","2016/4/12","2 hrs"
"Guardians of the Ancients",59,1,"Completed College","female","Viewer","Employed","Action/Adventure","10 mins","Summer",3224,"A decent movie, but it didn't quite meet my expectations. Some parts were enjoyable.",15,"3.1 stars","3.1 stars","4-12-2014","2016/6/12","2 hrs"
"Whispers of Hope",55,0,"Post-Graduate","male","Viewer","Employed","Drama","0 mins","Summer",389,"An in-between experience that lacked a distinctive quality.",9,"2.8 stars","2.9 stars","11-10-2018","2018/4/17","2 hrs"
"Midnight Shadows",31,0,"Post-Graduate","female","Viewer","Student","Horror","28 mins","Summer",4464,"An emotional rollercoaster that pulled at my heartstrings.",8,"3.7 stars","3.5 stars","7-19-1995","2002/7/15","2 hrs"
"Fun Under the Sun",49,1,"Completed College","male","Viewer","Retired","Comedy","50 mins","Summer",7699,"A symphony of emotions that left me deeply touched.",9,"4.5 stars","4.4 stars","1-18-2019","2019/3/24","1 hrs"
"Lost Horizon",31,1,"Completed High School","male","Critic","Employed","Drama","25 mins","Spring",2643,"It's a film that falls in between. Not remarkable, not terrible.",12,"2.8 stars","2.7 stars","9-1-2018","2018/7/19","1 hrs"
"Chronicles of Destiny",59,0,"Completed High School","female","Critic","Employed","Action/Adventure","21 mins","Fall",4695,"A film that lacked direction and substance. Avoid at all costs.",11,"2.2 stars","2.2 stars","7-13-2000","2001/1/9","2 hrs"
"Secret of the Ancients",23,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","31 mins","Summer",9029,"I wouldn't call it memorable, just a typical movie.",10,"3.4 stars","3.5 stars","2-28-2020","2022/2/27","1 hrs"
"Whimsical Whispers",73,0,"Completed High School","male","Viewer","Employed","Comedy","4 mins","Summer",6627,"Brilliantly crafted and emotionally resonant.",5,"3.9 stars","3.9 stars","7-25-2020","2020/3/1","2 hrs"
"Unseen Horizons",69,0,"Post-Graduate","male","Viewer","Unemployed","Drama","29 mins","Summer",7985,"A breathtaking masterpiece that speaks to the heart.",8,"3.9 stars","3.8 stars","3-28-2010","2013/7/3","2 hrs"
"Enchanted Playtime",70,0,"Post-Graduate","female","Viewer","Retired","Kids","46 mins","Spring",1041,"A film with potential that didn't quite soar.",9,"2.9 stars","2.9 stars","6-11-2004","2007/11/21","1 hrs"
"Journey to the Unknown",54,0,"Completed College","female","Viewer","Employed","Action/Adventure","46 mins","Summer",2537,"A disaster from start to finish. Don't waste your time.",11,"2.3 stars","2.2 stars","9-4-2000","2005/3/8","1 hrs"
"Frozen in Time",32,1,"Completed High School","female","Viewer","Employed","Drama","23 mins","Winter",2736,"A heartfelt and beautifully crafted cinematic journey.",7,"4 stars","4.1 stars","1-20-1984","1990/4/21","1 hrs"
"Amour Forever",38,0,"Post-Graduate","female","Viewer","Employed","Romance","40 mins","Fall",6251,"I expected more, but this movie left me thoroughly dissatisfied.",10,"2.4 stars","2.2 stars","6-28-2004","2012/8/27","1 hrs"
"Unseen Horizons",37,1,"Completed High School","female","Critic","Unemployed","Drama","30 mins","Summer",7985,"An average film that didn't evoke strong emotions.",9,"3.4 stars","3.6 stars","2-22-2010","2011/11/24","1 hrs"
"Romancing the Heart",21,0,"Post-Graduate","male","Critic","Student","Romance","39 mins","Summer",9860,"A breathtaking masterpiece that left me speechless. The storytelling, visuals, and performances were exceptional.",14,"3.5 stars","3.5 stars","2-3-2016","2018/2/5","1 hrs"
"Stellar Explorers",18,0,"Completed College","female","Viewer","Student","Sci-Fi","42 mins","Fall",8106,"A must-watch for anyone who appreciates true art.",9,"3.9 stars","3.9 stars","1-27-2013","2013/2/26","1 hrs"
"Rise of the Phoenix",73,0,"Completed High School","female","Viewer","Retired","Action/Adventure","30 mins","Winter",6613,"A film that fell short in every aspect. Disheartening.",9,"2.6 stars","2.8 stars","4-10-2006","2006/2/5","2 hrs"
"Guardians of the Ancients",33,0,"Completed College","male","Viewer","Employed","Action/Adventure","45 mins","Summer",3224,"I had high hopes for this movie, but it let me down in every way. The plot was confusing, and the acting was terrible.",24,"2.7 stars","2.7 stars","9-16-2014","2018/5/19","1 hrs"
"Clash of Titans",61,1,"Completed High School","male","Critic","Employed","Action/Adventure","13 mins","Summer",3638,"This movie was a complete disaster. The plot was confusing, the acting was terrible, and I regret wasting my time on it.",22,"2.2 stars","2.3 stars","3-14-2015","2015/4/17","2 hrs"
"Whimsical Whispers",18,0,"Post-Graduate","female","Viewer","Unemployed","Comedy","30 mins","Summer",6627,"I'm neutral about this one, neither good nor bad.",10,"3.4 stars","3.5 stars","5-26-2020","2022/8/8","1 hrs"
"Clash of Titans",71,0,"Completed High School","female","Viewer","Retired","Action/Adventure","8 mins","Summer",3638,"Neither good nor bad. Just average.",6,"3.1 stars","2.9 stars","2-16-2015","2015/4/16","2 hrs"
"Empire of Shadows",37,2,"Completed College","male","Viewer","Employed","Action/Adventure","4 mins","Summer",9606,"Neither good nor bad. Just average. I wouldn't call it a masterpiece.",13,"3.4 stars","3.5 stars","6-13-2017","2018/2/27","2 hrs"
"Hilarity Unleashed",79,0,"Post-Graduate","female","Viewer","Retired","Comedy","36 mins","Fall",7590,"A must-watch for anyone who appreciates true art.",9,"3.5 stars","3.4 stars","1-8-2019","2021/12/21","1 hrs"
"Quest for the Crystal",18,0,"Completed College","female","Viewer","Employed","Action/Adventure","45 mins","Summer",3611,"A painful and frustrating viewing experience. Disheartening.",7,"2.4 stars","2.4 stars","6-8-1996","1999/6/15","1 hrs"
"Chronicles of Destiny",18,0,"Post-Graduate","female","Viewer","Student","Action/Adventure","11 mins","Fall",4695,"A movie that failed to make a memorable impression.",9,"3.1 stars","2.9 stars","5-7-2000","2003/9/17","2 hrs"
"Reflections of Reality",32,0,"Post-Graduate","female","Viewer","Employed","Other","47 mins","Summer",2599,"A narrative that didn't quite leave a lasting impact.",10,"2.8 stars","2.8 stars","1-8-2019","2020/6/18","1 hrs"
"Journey to the Unknown",23,0,"Completed High School","male","Viewer","Student","Action/Adventure","15 mins","Summer",2537,"A misfire that lacked direction and purpose. Avoid at all costs.",11,"2.7 stars","2.7 stars","2-22-2000","2003/3/4","1 hrs"
"Lost Horizon",72,0,"Completed College","male","Viewer","Retired","Drama","16 mins","Spring",2643,"I expected more, but it fell short.",7,"3.4 stars","3.3 stars","9-4-2018","2019/11/13","1 hrs"
"Odyssey of Legends",57,1,"Completed College","male","Viewer","Employed","Action/Adventure","5 mins","Fall",7179,"Some moments were enjoyable, others were forgettable.",7,"3.2 stars","3.3 stars","6-5-2011","2012/2/18","2 hrs"
"Guardians of the Ancients",42,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","6 mins","Summer",3224,"This movie was a waste of my time. The plot was predictable, and the characters were unlikeable.",17,"2.3 stars","2.2 stars","1-5-2014","2023/2/4","2 hrs"
"Echoes of Valor",32,1,"Completed High School","female","Viewer","Employed","Action/Adventure","32 mins","Winter",5527,"A neutral journey that didn't evoke strong reactions.",9,"3.2 stars","3.1 stars","6-7-2020","2021/2/23","2 hrs"
"Fun Under the Sun",46,1,"Completed High School","female","Critic","Employed","Comedy","57 mins","Summer",7699,"An okay watch that didn't quite stand out.",9,"3.3 stars","3.4 stars","6-9-2019","2019/2/21","1 hrs"
"Cursed Kingdom",42,1,"Completed College","female","Viewer","Employed","Drama","48 mins","Summer",5101,"Unforgettable movie moments.",3,"3.8 stars","3.7 stars","6-22-2000","2007/11/6","1 hrs"
"Crimson Echoes",53,1,"Post-Graduate","female","Viewer","Employed","Drama","30 mins","Fall",955,"An emotional rollercoaster that left me in awe. The captivating plot and outstanding acting made this film a true gem. I couldn't stop thinking about it long after the credits rolled.",32,"3.6 stars","3.4 stars","11-26-1995","1995/12/5","2 hrs"
"Quest for Imagination",61,0,"Post-Graduate","female","Viewer","Employed","Kids","24 mins","Summer",3131,"I can't believe I paid to see this garbage. The story was nonsensical, and I couldn't connect with any of the characters.",24,"2.1 stars","2 stars","4-4-2005","2013/7/18","1 hrs"
"The Enigmatic Drama",42,1,"Post-Graduate","female","Viewer","Employed","Drama","45 mins","Summer",5690,"I was blown away by this film. It's a cinematic masterpiece that will stand the test of time.",19,"4.5 stars","4.3 stars","2-18-2018","2019/3/19","1 hrs"
"Laughing Waters",64,0,"Post-Graduate","male","Critic","Employed","Comedy","27 mins","Spring",768,"A film with its share of highs and lows.",9,"2.9 stars","2.8 stars","2-25-2006","2012/3/3","2 hrs"
"Chronicles of Destiny",77,0,"Post-Graduate","female","Viewer","Retired","Action/Adventure","16 mins","Fall",4695,"I wanted to like this movie, but it was a disappointment. The story felt rushed, and the characters lacked depth.",20,"2.4 stars","2.4 stars","12-28-2000","2007/6/9","2 hrs"
"Joyful Journeys",59,0,"Completed College","female","Critic","Employed","Kids","59 mins","Spring",9030,"A lackluster effort that fell flat in every conceivable way.",10,"2.5 stars","2.6 stars","2-13-2005","2008/11/10","1 hrs"
"Mystic Shadows",70,0,"Completed College","male","Critic","Retired","Drama","31 mins","Summer",1455,"An okay narrative that lacked a distinct identity.",8,"3.3 stars","3.2 stars","2-23-2010","2015/10/11","2 hrs"
"Odyssey of Hope",58,0,"Completed High School","female","Viewer","Employed","Action/Adventure","17 mins","Summer",9797,"It had its moments, but overall, it was just okay. I neither loved it nor hated it.",17,"2.9 stars","3 stars","12-2-2019","2019/5/6","2 hrs"
"Wonderland Adventures",64,0,"Completed College","male","Viewer","Employed","Kids","38 mins","Spring",2160,"A film that missed the mark on every level. Avoid.",10,"2.5 stars","2.4 stars","6-8-2012","2017/6/15","1 hrs"
"Chronicles of Destiny",33,0,"Completed High School","male","Viewer","Retired","Action/Adventure","39 mins","Fall",4695,"An uninspired and regrettable mess that I won't soon forget.",11,"2.1 stars","2.2 stars","11-23-2000","2007/7/28","1 hrs"
"Eternal Sunshine",54,1,"Post-Graduate","female","Viewer","Employed","Drama","51 mins","Summer",4603,"A remarkable achievement that touched my heart.",7,"4.3 stars","4.5 stars","5-20-2017","2018/7/13","1 hrs"
"Beyond the Horizon",56,1,"Post-Graduate","male","Critic","Employed","Action/Adventure","59 mins","Spring",6820,"A movie that failed to live up to its potential. Disappointing.",11,"2.4 stars","2.5 stars","7-7-2010","2020/12/26","1 hrs"
"Unseen Horizons",18,0,"Completed College","female","Viewer","Student","Drama","14 mins","Summer",7985,"Elegantly executed with a compelling narrative.",6,"4.3 stars","4.2 stars","5-7-2010","2014/3/11","2 hrs"
"Journey to the Unknown",80,0,"Post-Graduate","female","Critic","Retired","Action/Adventure","32 mins","Summer",2537,"I couldn't connect with the story or characters at all.",11,"2.4 stars","2.4 stars","5-1-2000","2004/3/5","2 hrs"
"Joyful Journeys",41,0,"Post-Graduate","male","Viewer","Employed","Kids","30 mins","Spring",9030,"It's just an average movie, nothing special.",8,"3.3 stars","3.3 stars","1-19-2005","2005/3/15","1 hrs"
"Eerie Echoes",18,0,"Completed High School","male","Viewer","Employed","Horror","54 mins","Fall",9634,"A visual and emotional masterpiece that left me speechless.",9,"3.5 stars","3.5 stars","4-17-2018","2018/3/12","1 hrs"
"Mystic Whispers",52,0,"Post-Graduate","female","Viewer","Employed","Drama","49 mins","Summer",857,"A middle-of-the-road outing that left me with mixed feelings.",12,"3.4 stars","3.5 stars","2-11-2010","2013/7/25","1 hrs"
"Reflections of Reality",66,0,"Post-Graduate","female","Viewer","Employed","Other","28 mins","Summer",2599,"It was alright, but I've seen better. Not the best, but it was bearable.",15,"3.3 stars","3.2 stars","11-13-2019","2021/7/15","2 hrs"
"Beyond Boundaries",43,0,"Post-Graduate","female","Viewer","Unemployed","Other","32 mins","Fall",8184,"It had potential, but it didn't fully deliver. I was hoping for better.",14,"2.9 stars","3 stars","2-5-2018","2020/6/22","1 hrs"
